total_violent_crime,household_income
4782,43734
910,48626
73,51342
613,63030
132,55192
546,43373
281,38719
390,48313
2392,66159
243,44452
20,33885
408,60287
310,48814
112,51529
1034,36570
77,46029
891,46559
223,120000
10,49056
307,45141
2270,72359
318,65935
144,56065
31,37667
469,97242
209,47195
15,38401
41,45714
505,32853
164,62670
188,34619
147,39125
146,41970
126,35430
507,63074
117,33443
109,40313
2029,86569
152,52545
930,46566
127,51812
141,48831
75,54203
459,47537
4301,122238
1288,37855
18,48428
102,44964
586,51497
222,33318
3,44556
149,53237
315,40009
52,38187
169,53459
772,71238
60,65026
2157,57380
29,44286
111,58396
59,43327
505,47401
3,50543
764,47468
230,53376
817,88409
92,47701
393,48369
341,50214
29,42180
262,25906
422,39516
326,39850
169,54336
22,56438
276,39225
343,32059
1762,70912
662,67157
14,69107
423,52686
16586,110292
228,42644
702,45767
1,44353
104,43269
363,53668
127,25000
74,47494
117,44740
146,40145
215,47969
1631,79977
210,44742
218,50262
118,44962
134,42963
5,52847
154,45294
140,50759
269,49324
84,44422
41,42449
1446,53075
218,39963
1100,47460
316,38522
791,52195
846,49755
55,45603
433,24038
4057,60826
85,41614
32,53806
52,35261
60,50609
65,36591
507,36308
282,46430
184,47366
199,52763
23,41815
118,44873
520,50510
228,80976
138,40168
863,43444
96,52350
410,47649
81,29853
709,55584
241,29497
103,42393
139,49248
346,50438
79,34406
10533,60196
524,48528
142,48185
56,43081
657,51213
50,52160
5555,98633
96,55461
828,44683
25,39702
36,51632
52,52510
423,47079
63,22920
30,34688
1311,68426
238,46163
13,58625
25,45040
234,34090
27,48313
24,37594
6063,81540
318,49143
120,46622
52,55563
58,34175
78,47892
183,52023
4719,99020
124,32592
114,51619
515,35430
241,46077
149,51408
1058,64541
4,21192
816,62981
230,68288
34,22325
245,46756
62,53309
82,56827
84,43971
341,50542
320,35236
93,46170
868,42074
34,34029
2422,71598
1155,83773
425,37587
6,39286
115,29934
10,30750
18,43518
5250,75850
125,53865
292,54780
2128,72138
86,39028
39,46817
32,22545
41,33524
143,64205
87,38907
581,57565
80,37894
13,44551
169,44652
133,42071
52,47104
38,50074
54,31593
159,36293
675,47117
475,52480
5,55815
408,66639
107,51681
62,53931
26,42364
48,43870
344,46994
188,55247
154,44618
114,55269
1894,87335
795,56733
413,44522
2684,69306
146,33525
158,65209
168,29721
183,26839
185,38113
828,57596
2693,69965
172,54583
140,35421
555,43676
180,52646
261,40376
116,34636
601,56946
38,50105
110,34261
954,75457
729,42221
255,76548
27,43839
55,39536
1109,40490
133,50657
1062,51154
977,42119
543,42510
285,46159
2007,49506
255,58888
1288,41940
414,43980
344,43510
163,43958
27,44922
18,44743
29,61635
60,32521
34,36000
23,23451
33,45893
290,56669
72,40845
273,49633
610,57353
680,42143
285,45488
188,33651
50,38582
43,34481
388,53525
21,42167
218,38105
691,83391
210,36406
5,52317
156,39196
128,39700
228,47985
153,59435
54,34701
557,44945
290,44060
63,46939
47,26877
61,33333
80,33301
418,44094
191,47596
38,48038
1395,55354
181,54666
93,45512
3,46382
21,49718
242,50821
164,47188
6,49625
294,57500
268,68482
1164,51440
24,48875
56,46625
8,37105
455,54541
271,53588
1030,48080
88,28388
29,51365
310,58922
71,33408
23,52991
79,59509
9,48477
1909,40679
215,51914
22,42451
205,53057
3,41453
230,65050
97,48936
229,30476
161,56136
104,45830
58,43886
1678,47685
116,63468
54,37453
57,46548
51,39049
35,44650
406,41859
127,50802
174,40008
18,24246
441,58750
49,29003
141,57581
138,48361
175,52215
77,44136
87,53776
140,55553
8,36121
73,40143
139,31200
271,50881
621,32961
21,29808
99,51078
247,40640
43,35718
1151,106143
17,41458
280,49035
51,50247
162,30674
9,30710
210,49107
11,42515
91,40112
9,32708
231,49516
792,67255
133,65409
34,51189
63,54196
101,32495
15,54494
230,44869
137,55041
32,46551
3096,82468
14,23600
216,59870
17,32702
389,58515
138,50167
247,40833
400,39381
18,43011
27,52147
14,52198
590,48733
99,46429
16,50648
88,47897
160,46896
21,44484
55,41415
18,51750
33,47277
54,41994
47,44427
236,48163
106,53122
9,44143
83,45271
37,51924
20,61250
104,29184
44,22574
35,41045
21,40272
7,45556
17,35434
76,46016
502,43328
598,48136
65,39845
32,46865
25,30880
51,45884
259,48256
31,39541
483,40904
6,33033
27,40842
139,46695
112,55018
38,30658
66,26156
26,47500
29,45865
278,38373
68,46019
31,19986
803,51615
30,36888
45,44213
78,31750
26,27100
48,80337
12,43950
60,33889
101,41009
18,29293
27,36124
66,51493
31,46317
20,43804
43,29108
82,58190
17,40024
35,47384
70,42139
59,24045
91,36505
24,29634
56,35051
89,51568
149,45286
3,36326
194,42235
32,42230
67,47083
138,29325
239,43925
22,43795
5,48783
23,30797
93,60893
67,37246
77,41500
12,31170
9,37391
0,47198
0,39761
0,44167
0,54017
0,41279
0,31786
0,44493
0,22863
0,49200
0,55089
0,40445
0,41705
0,51373
0,47813
0,44808
0,48896
0,47596
0,42014
0,34753
0,41576
0,36719
0,31362
0,45389
0,30962
0,30000
0,45920
0,44950
0,31060
0,37105
0,41892
0,28481
0,38125
0,59375
0,45357
0,50520
0,33600
0,34063
0,50227
0,47431
0,40568
0,42917
0,51765
0,39884
0,31039
0,49125
0,36923
0,45246
0,40330
0,46250
0,65000
0,29925
0,35125
0,33618
0,37760
0,44417
0,46784
0,24767
0,49088
0,32930
0,39327
0,26104
0,50436
0,38371
41,40811
0,48384
26,46117
26,46917
26,35845
26,38500
25,51164
24,41835
24,37321
24,48758
23,40795
17,46667
35,49669
35,34089
35,36713
52,45236
113,36377
100,46972
96,24338
60,50859
60,32503
56,47540
54,46313
51,33381
48,44843
47,35916
46,31375
46,39192
44,38417
42,52848
39,33647
16,52026
12,49055
0,50475
12,57978
2,47569
2,38807
2,40980
2,68750
2,39659
1,36875
1,48464
1,45096
1,54524
1,49831
1,39400
1,41400
1,44161
0,31934
3,33257
3,39603
3,41875
12,48659
12,48185
11,38362
9,35729
8,33200
3,36250
5,46373
5,34639
4,50377
5,39190
5,46591
3,38301
0,38393
